2017-04-04 | canal 3 | 12:32 | neg | monica fein | Fein pide que se investigue el accionar policial Tras la violencia policial ?Vivieron con mucha violencia Nota a Mónica Fein (Intendenta)
2017-04-05 | canal 3 | 12:20 | neu | martin lucero sadop | Los docentes se están movilizando en Santa Fe Sin clases hoy y mañana Nota a Martín Lucero (Sadop)
2017-04-06 | canal 3 | 20:56 | neg |  | El paro en el país: en Mendoza apedrearon colectivos Alto acatamiento en ciudad de Santa Fe
2017-04-07 | canal 3 | 12:25 | neg | miguel gonzalez | Preocupación en Rosario Ya son 64 los casos de dengue, confirmados y autóctonos Nota a Miguel Gonzalez (Ministro de Salud)
2017-04-10 | canal 3 | 21:05 | neg | daniela leon diego | Deportes20:03 ? Vivo Así está uno de los ingresos al Concejo tras el reclamo de carreros Carreros volvieron a encadenarse en la puerta del Concejo Se encadenaron a la puerta e impidieron la salida de concejales Rechazan la prohibición de la tracción a sangre Notas Concejales Daniela León, Diego Giuliano, Lorena Giménez, Alejandro Roselló y Carlos Cardozo
2017-04-10 | canal 3 | 20:21 | neg | claudia balague | Mañana no hay clases en escuelas públicas y privadas Incidentes con los docentes frente al Congreso Nota Claudia Balagué (Ministra de Educación provincia de Santa Fe)
2017-04-10 | canal 3 | 20:28 | neg | casilda el nuevo | Terminal Nuevos servicios a las rutas 33 y 9 Ex Monticas: entraron en vigencia los nuevos servicios A Zavalla el 35/9 y a Casilda el nuevo 33/9
2017-04-10 | canal 3 | 20:31 | neg | gustavo zignago | Zona norte Lomos de burro para evitar picadas Nota Gustavo Zignago (Secretario de Control y Convivencia Ciudadana municipalidad de Rosario)
2017-04-10 | canal 3 | 20:43 | pos | claudia balague | Escuela ?Juramento de la Bandera?: la respuesta del gobierno Nota Claudia Balagué (Ministra de Educación provincia de Santa Fe)
2017-04-10 | canal 3 | 20:53 | pos | guillermo rios | Deportes20:58 ? Municipalidad Nuevo diseño de imagen para los silos Davis Se conoció el proyecto ganador del concurso Será el tercer cambio de imagen del Museo de Arte Contemporáneo Nota Guillermo Ríos (Secretario de Cultura municipalidad de Rosario)
2017-04-10 | canal 3 | 21:14 | pos |  | Santiago al 1100 Rosarinos solidarios y una mano que va para el sur Juntan donaciones para los inundados en Comodoro Rivadavia
2017-04-10 | canal 3 | 11:55 | neg |  | Ex Monticas: entraron en vigencia los nuevos servicios Los pasajes se venden en los colectivos
2017-04-10 | canal 3 | 12:02 | pos |  | Juntan donaciones para los inundados de Comodoro Rivadavia Rosarinos solidarios y una mano que va para el sur
2017-04-10 | canal 3 | 12:24 | dud |  | La 33 se llenó de agua Ruta 33: también hay agua a la altura de Pujato
2017-04-10 | canal 3 | 12:26 | neg |  | Los pasajes se venden en los colectivos La era post Monticas arrancó con quejas
2017-04-10 | canal 3 | 12:39 | neg | claudia balague | Mañana paro docente por 24 hs en todo el país ?La paritaria ya estaba trabajada? Entrevista a Claudia Balagué (Ministra de Educación de Santa Fe)
2017-04-10 | canal 3 | 12:51 | pos |  | Santiago 1100 Rosarinos solidarios para los inundados de Comodoro Rivadavia Rosarinos solidarios y una mano que va para el sur
2017-04-11 | canal 3 | 21:06 | pos | miguel lifschitz | Lifschitz también se refirió al paro docente Nota Gobernador Miguel Lifschitz
2017-04-11 | canal 3 | 21:07 | pos | pablo lamberto secretario | Promoverán en boliches rosarinos al ?Conductor Designado? El programa busca crear conductas responsables Se premiará a quienes conduzcan y no consuman alcohol Nota Pablo Lamberto (Secretario de Juventudes provincia de Santa Fe)
2017-04-11 | canal 3 | 12:08 | neg | daniela leon presidenta | Concejo Municipal Rechazan la prohibición de la tracción a sangre Se encadenaron a la puerta e impidieron la salida de concejales Nota a carreros y Daniela León (Presidenta Concejo Municipal) ? Diego Giuliano (Concejal) ? Lorena Gimenez (Concejala) ? Alejandro Rosello (Concejal) ? Carlos Cardozo (Concejal)
2017-04-12 | canal 3 | 20:10 | pos | lorenzo se lanzo | San Lorenzo Se lanzó el operativo Cosecha Segura Operativo para mayor seguridad en terminales portuarias Notas Patricia Bullrich (Ministra de Seguridad de la Nación) y diputado provincial Roy López Molina
